id	label	type
"person-137"	"Beethoven Ludwig van"	"person"
"essay-186"	"L'insostenibile leggerezza dell'essere di Milan Kundera"	"essay"
"person-138"	"Beli Graham"	"person"
"essay-372"	"Palomar nel Massachusetts"	"essay"
"person-139"	"Bellarmino Roberto"	"person"
"essay-303"	"Pietro Redondi, Galileo eretico"	"essay"
"person-140"	"Belli Giuseppe Gioacchino"	"person"
"essay-83"	"2. Rapidità"	"essay"
"essay-149"	"Primo Levi, La ricerca delle radici"	"essay"
"essay-211"	"Letteratura, città aperta?"	"essay"
"essay-214"	"Mancata fortuna del romanzo italiano"	"essay"
"person-141"	"Bellocchio Piergiorgio"	"person"
"essay-101"	"Charles Dickens, Our Mutuai Friend"	"essay"
"person-142"	"Bellow Saul"	"person"
"essay-386"	"Situazione 1978"	"essay"
"essay-396"	"La mia città è New York"	"essay"
"person-143"	"Beltrame Achille"	"person"
"essay-393"	"I ritratti del Duce"	"essay"
"person-144"	"Bembo Bonifacio"	"person"
"essay-25"	"Il mondo alla rovescia"	"essay"
"person-145"	"BendaJulien"	"person"
"essay-304"	"Fato antico e fato moderno di Giorgio de Santillana"	"essay"
"person-146"	"Benedetti Arrigo"	"person"
"essay-212"	"La letteratura italiana sulla Resistenza"	"essay"
"person-147"	"Benevolo Leonardo"	"person"
"essay-30"	"Per Fourier: 2. L'ordinatore dei desideri"	"essay"
"person-148"	"Benjamin Walter"	"person"
"essay-30"	"Per Fourier: 2. L'ordinatore dei desideri"	"essay"
"essay-87"	"Appendice: Cominciare e finire"	"essay"
"essay-90"	"La città-romanzo in Balzac"	"essay"
"essay-151"	"Giovanni Macchia, Le rovine di Parigi"	"essay"
"essay-193"	"Omaggio a Octavio Paz"	"essay"
"essay-198"	"La filosofia di Raymond Queneau"	"essay"
"person-149"	"Benn Gottfried"	"person"
"essay-84"	"3. Esattezza"	"essay"
"person-150"	"Benoit Pierre"	"person"
"essay-64"	"L'arcipelago dei luoghi immaginari"	"essay"
"person-151"	"Benveniste EÃÅmile"	"person"
